Product,Land use,Farm,Animal feed,Processing,Transport,Retail,Packaging,Losses,Total emissions
beef (beef herd),23.23753584,56.22806279,2.680978528,1.811083009,0.494124578,0.233537838,0.352084451,14.43999758,99.477404614
beef (dairy herd),1.266022291,21.91552941,3.503673404,1.547664428,0.592409815,0.254032327,0.374549103,3.847514644,33.301395422
cheese,4.467476309,13.0955392,2.35305756,0.740386293,0.138556663,0.333337741,0.172090931,2.577136521,23.877581218
eggs,0.710381288,1.319636556,2.205012424,0.0,0.084063931,0.035615941,0.16143735,0.153323463,4.669470952999999
groundnuts,0.4851524,1.575954219,0.0,0.410917506,0.132597229,0.046872605,0.109439863,0.469079765,3.2300135869999997
lamb & mutton,0.648246975,27.02574947,3.283170334,1.539596149,0.678854295,0.300814068,0.34760362,5.898234517,39.722269428000004
maize,0.475169036,0.717274411,0.0,0.078319173,0.090377117,0.039312998,0.09026754,0.210791222,1.7015114969999998
milk,0.51222255,1.508862035,0.243814063,0.154189035,0.093235401,0.265149784,0.100180454,0.274066289,3.151719611
nuts,-3.257812133,3.374406815,0.0,0.051419528,0.106734489,0.042638569,0.123747546,-0.007999532,0.4331352820000001
oatmeal,0.001931697,1.872373655,0.0,0.057838235,0.091276148,0.039322364,0.090289045,0.327418343,2.4804494870000005
other pulses,0.033302446,1.08871478,0.0,0.0,0.09617697,0.039322364,0.353229974,0.17563304,1.786379574
peas,0.000118777,0.717159966,0.0,0.0,0.095067089,0.039322364,0.044821982,0.078590739,0.9750809169999999
pig meat,2.244068682,2.477097669,4.298476294,0.415841843,0.501263865,0.278096013,0.432286318,1.658551095,12.305681779000002
poultry meat,3.508428798,0.927821834,2.452357033,0.607372729,0.381078302,0.243976607,0.292702383,1.452085944,9.86582363
soy milk,0.179971835,0.092768045,0.0,0.162509105,0.109835191,0.27017249,0.098395215,0.061527272,0.975179153
tofu,0.958229607,0.494701474,0.0,0.793884503,0.176925292,0.27017249,0.177360572,0.290470423,3.1617443610000002
